Username,Choice Item Description,Current Price,Tags
takumi@fingermenu.co.nz,Rice,2.50,
takumi@fingermenu.co.nz,Miso,2.50,
takumi@fingermenu.co.nz,Rice & Miso,4.00,
takumi@fingermenu.co.nz,Garlic,0,
takumi@fingermenu.co.nz,Vegan,0,Vegan
takumi@fingermenu.co.nz,Vegetarian,0,Vegetarian
takumi@fingermenu.co.nz,No onions,0,No onions
takumi@fingermenu.co.nz,Asahi (Large),10.00,Large
takumi@fingermenu.co.nz,Asahi (Regular),9.00,Regular
takumi@fingermenu.co.nz,Sapporo (Large),10.00,Large
takumi@fingermenu.co.nz,Sapporo (Regular),9.00,Regular
takumi@fingermenu.co.nz,Kubota Senjyu - Cold (Large),26.00,Large
takumi@fingermenu.co.nz,Kubota Senjyu - Cold (Regular),13.00,Regular
takumi@fingermenu.co.nz,Karatamba - Cold (Large),25.00,Large
takumi@fingermenu.co.nz,Karatambe - Cold (Regular),12.00,Regular
takumi@fingermenu.co.nz,Ozeki - Hot (Large),19.00,Large
takumi@fingermenu.co.nz,Ozeki - Hot (Regular),11.00,Regular
,,,
,,,
,,,
info@43degreescafe.co.nz,Highland Fresh Salmon,7.00,
info@43degreescafe.co.nz,Bacon,5.00,
info@43degreescafe.co.nz,Avocado,5.00,
info@43degreescafe.co.nz,Halloumi,5.00,
info@43degreescafe.co.nz,Sautéed Spinach,5.00,
info@43degreescafe.co.nz,Chorizo,5.00,
info@43degreescafe.co.nz,Potato Hash Brown,3.00,
info@43degreescafe.co.nz,Mushroom,3.00,
info@43degreescafe.co.nz,Tomato,3.00,
info@43degreescafe.co.nz,GF & DF Bread ,1.00,
info@43degreescafe.co.nz,Soy,0.80,
info@43degreescafe.co.nz,Almond,0.80,
info@43degreescafe.co.nz,Coconut,0.80,
info@43degreescafe.co.nz,Decaf,0.80,
info@43degreescafe.co.nz,Extra Shot,0.80,
info@43degreescafe.co.nz,Syrup Flavour,0.80,
info@43degreescafe.co.nz,Extra Ice-cream,1.5,
info@43degreescafe.co.nz,Wild Grace PN (glass),12.00,Glass
info@43degreescafe.co.nz,Wild Grace PN (bottle),46.00,Bottle
info@43degreescafe.co.nz,Marc Bredif V 2016 (glass),14.00,Glass
info@43degreescafe.co.nz,Marc Bredif V 2016 (bottle),66.00,Bottle
info@43degreescafe.co.nz,Villa Maria Rosie 2016 (glass),10.00,Glass
info@43degreescafe.co.nz,Villa Maria Rosie 2016 (bottle),32.00,Bottle
info@43degreescafe.co.nz,Villa Maria Sauvgingon (glass),9.00,Glass
info@43degreescafe.co.nz,Villa Maria Sauvgingon (bottle),28.00,Bottle
info@43degreescafe.co.nz,Wither Hill Sauvignon Blanc (glass),10.00,Glass
info@43degreescafe.co.nz,Wither Hill Sauvignon Blanc (bottle),33.00,Bottle
info@43degreescafe.co.nz,Villa Maria Chardonnay (glass),9.00,Glass
info@43degreescafe.co.nz,Villa Maria Chardonnay (bottle),28.00,Bottle
info@43degreescafe.co.nz,Wither Hill Chardonnay (glass),10.00,Glass
info@43degreescafe.co.nz,Wither Hill Chardonnay (bottle),33.00,Bottle
info@43degreescafe.co.nz,Allan Scott Riesling dry (glass),10.00,Glass
info@43degreescafe.co.nz,Allan Scott Riesling dry (bottle),36.00,Bottle
info@43degreescafe.co.nz,Allan Scott Riesling sweet (glass),12.00,Glass
info@43degreescafe.co.nz,Allan Scott Riesling sweet (bottle),42.00,Bottle
,,,
maxine@fingermenu.co.nz,Hot & Sour Soup [*] S,7,Small
maxine@fingermenu.co.nz,Hot & Sour Soup [*] M,18,Medium
maxine@fingermenu.co.nz,Hot & Sour Soup [*] L,28,Large
maxine@fingermenu.co.nz,Wonton Soup S,7,Small
maxine@fingermenu.co.nz,Wonton Soup M,18,Medium
maxine@fingermenu.co.nz,Wonton Soup L,28,Large
maxine@fingermenu.co.nz,Chicken & Cream Corn Soup [*] [GF] S,7,Small
maxine@fingermenu.co.nz,Chicken & Cream Corn Soup [*] [GF] M,18,Medium
maxine@fingermenu.co.nz,Chicken & Cream Corn Soup [*] [GF] L,28,Large
maxine@fingermenu.co.nz,Chicken & Fish Maw Soup [GF] S,8,Small
maxine@fingermenu.co.nz,Chicken & Fish Maw Soup [GF] M,25,Medium
maxine@fingermenu.co.nz,Chicken & Fish Maw Soup [GF] L,38,Large
maxine@fingermenu.co.nz,"Chicken, Crab Meat & Tofu Soup [GF] S",8,Small
maxine@fingermenu.co.nz,"Chicken, Crab Meat & Tofu Soup [GF] M",22,Medium
maxine@fingermenu.co.nz,"Chicken, Crab Meat & Tofu Soup [GF] L",36,Large
maxine@fingermenu.co.nz,"Seafood, Spinach Juice & Tofu Soup [*] [GF] S",8,Small
maxine@fingermenu.co.nz,"Seafood, Spinach Juice & Tofu Soup [*] [GF] M",22,Medium
maxine@fingermenu.co.nz,"Seafood, Spinach Juice & Tofu Soup [*] [GF] L",36,Large
