Username,Name en_NZ,Name zh,Name ja,Description en_NZ,Description zh,Description  ja,Choice item page URL,imageUrl,Tags
takumi@fingermenu.co.nz,Rice,米饭,ライス,Rice,米饭,ライス,,,
takumi@fingermenu.co.nz,Miso,大酱汤,味噌,Miso,大酱汤,味噌,,,
takumi@fingermenu.co.nz,Rice & Miso,米饭和大酱汤,米と味噌,Rice & Miso,米饭和大酱汤,米と味噌,,,
takumi@fingermenu.co.nz,Garlic,,,Garlic,,,,,
takumi@fingermenu.co.nz,Vegan,,,Vegan,,,,,
takumi@fingermenu.co.nz,Vegetarian,,,Vegetarian,,,,,
takumi@fingermenu.co.nz,No onions,,,No onions,,,,,
takumi@fingermenu.co.nz,Large,,,Asahi (Large),,,,,
takumi@fingermenu.co.nz,Regular,,,Asahi (Regular),,,,,
takumi@fingermenu.co.nz,Large,,,Sapporo (Large),,,,,
takumi@fingermenu.co.nz,Regular,,,Sapporo (Regular),,,,,
takumi@fingermenu.co.nz,Large,,,Kubota Senjyu - Cold (Large),,,,,
takumi@fingermenu.co.nz,Regular,,,Kubota Senjyu - Cold (Regular),,,,,
takumi@fingermenu.co.nz,Large,,,Karatamba - Cold (Large),,,,,
takumi@fingermenu.co.nz,Regular,,,Karatambe - Cold (Regular),,,,,
takumi@fingermenu.co.nz,Large,,,Ozeki - Hot (Large),,,,,
takumi@fingermenu.co.nz,Regular,,,Ozeki - Hot (Regular),,,,,
,,,,,,,,,
43degreescafe@fingermenu.co.nz,Highland Fresh Salmon,,,Highland Fresh Salmon,,,,,
43degreescafe@fingermenu.co.nz,Bacon,,,Bacon,,,,,
43degreescafe@fingermenu.co.nz,Avocado,,,Avocado,,,,,
43degreescafe@fingermenu.co.nz,Halloumi,,,Halloumi,,,,,
43degreescafe@fingermenu.co.nz,Sautéed Spinach,,,Sautéed Spinach,,,,,
43degreescafe@fingermenu.co.nz,Chorizo,,,Chorizo,,,,,
43degreescafe@fingermenu.co.nz,Potato Hash Brown,,,Potato Hash Brown,,,,,
43degreescafe@fingermenu.co.nz,Mushroom,,,Mushroom,,,,,
43degreescafe@fingermenu.co.nz,Tomato,,,Tomato,,,,,
43degreescafe@fingermenu.co.nz,GF & DF Bread ,,,GF & DF Bread ,,,,,
43degreescafe@fingermenu.co.nz,Soy,,,Soy,,,,,
43degreescafe@fingermenu.co.nz,Almond,,,Almond,,,,,
43degreescafe@fingermenu.co.nz,Coconut,,,Coconut,,,,,
43degreescafe@fingermenu.co.nz,Decaf,,,Decaf,,,,,
43degreescafe@fingermenu.co.nz,Extra Shot,,,Extra Shot,,,,,
43degreescafe@fingermenu.co.nz,Syrup Flavour,,,Syrup Flavour,,,,,
43degreescafe@fingermenu.co.nz,Extra Ice-cream,,,Extra Ice-cream,,,,,
43degreescafe@fingermenu.co.nz,Glass,,,Wild Grace PN (glass),,,,,
43degreescafe@fingermenu.co.nz,Bottle,,,Wild Grace PN (bottle),,,,,
43degreescafe@fingermenu.co.nz,Glass,,,Marc Bredif V 2016 (glass),,,,,
43degreescafe@fingermenu.co.nz,Bottle,,,Marc Bredif V 2016 (bottle),,,,,
43degreescafe@fingermenu.co.nz,Glass,,,Villa Maria Rosie 2016 (glass),,,,,
43degreescafe@fingermenu.co.nz,Bottle,,,Villa Maria Rosie 2016 (bottle),,,,,
43degreescafe@fingermenu.co.nz,Glass,,,Villa Maria Sauvgingon (glass),,,,,
43degreescafe@fingermenu.co.nz,Bottle,,,Villa Maria Sauvgingon (bottle),,,,,
43degreescafe@fingermenu.co.nz,Glass,,,Wither Hill Sauvignon Blanc (glass),,,,,
43degreescafe@fingermenu.co.nz,Bottle,,,Wither Hill Sauvignon Blanc (bottle),,,,,
43degreescafe@fingermenu.co.nz,Glass,,,Villa Maria Chardonnay (glass),,,,,
43degreescafe@fingermenu.co.nz,Bottle,,,Villa Maria Chardonnay (bottle),,,,,
43degreescafe@fingermenu.co.nz,Glass,,,Wither Hill Chardonnay (glass),,,,,
43degreescafe@fingermenu.co.nz,Bottle,,,Wither Hill Chardonnay (bottle),,,,,
43degreescafe@fingermenu.co.nz,Glass,,,Allan Scott Riesling dry (glass),,,,,
43degreescafe@fingermenu.co.nz,Bottle,,,Allan Scott Riesling dry (bottle),,,,,
43degreescafe@fingermenu.co.nz,Glass,,,Allan Scott Riesling sweet (glass),,,,,
43degreescafe@fingermenu.co.nz,Bottle,,,Allan Scott Riesling sweet (bottle),,,,,
,,,,,,,,,
maxine@fingermenu.co.nz,Small,,,Hot & Sour Soup [*] S,,,,,
maxine@fingermenu.co.nz,Medium,,,Hot & Sour Soup [*] M,,,,,
maxine@fingermenu.co.nz,Large,,,Hot & Sour Soup [*] L,,,,,
maxine@fingermenu.co.nz,Small,,,Wonton Soup S,,,,,
maxine@fingermenu.co.nz,Medium,,,Wonton Soup M,,,,,
maxine@fingermenu.co.nz,Large,,,Wonton Soup L,,,,,
maxine@fingermenu.co.nz,Small,,,Chicken & Cream Corn Soup [*] [GF] S,,,,,
maxine@fingermenu.co.nz,Medium,,,Chicken & Cream Corn Soup [*] [GF] M,,,,,
maxine@fingermenu.co.nz,Large,,,Chicken & Cream Corn Soup [*] [GF] L,,,,,
maxine@fingermenu.co.nz,Small,,,Chicken & Fish Maw Soup [GF] S,,,,,
maxine@fingermenu.co.nz,Medium,,,Chicken & Fish Maw Soup [GF] M,,,,,
maxine@fingermenu.co.nz,Large,,,Chicken & Fish Maw Soup [GF] L,,,,,
maxine@fingermenu.co.nz,Small,,,"Chicken, Crab Meat & Tofu Soup [GF] S",,,,,
maxine@fingermenu.co.nz,Medium,,,"Chicken, Crab Meat & Tofu Soup [GF] M",,,,,
maxine@fingermenu.co.nz,Large,,,"Chicken, Crab Meat & Tofu Soup [GF] L",,,,,
maxine@fingermenu.co.nz,Small,,,"Seafood, Spinach Juice & Tofu Soup [*] [GF] S",,,,,
maxine@fingermenu.co.nz,Medium,,,"Seafood, Spinach Juice & Tofu Soup [*] [GF] M",,,,,
maxine@fingermenu.co.nz,Large,,,"Seafood, Spinach Juice & Tofu Soup [*] [GF] L",,,,,
maxine@fingermenu.co.nz,1 Course,,,Peking Duck 1 Course,,,,,
maxine@fingermenu.co.nz,2 Courses,,,Peking Duck 2 Course,,,,,
maxine@fingermenu.co.nz,3 Courses,,,Peking Duck 3 Course,,,,,
maxine@fingermenu.co.nz,Half,,,Roasted Duck Half,,,,,
maxine@fingermenu.co.nz,Whole,,,Roasted Duck Whole,,,,,
maxine@fingermenu.co.nz,Roast Duck,,,Roast Duck,,,,,
maxine@fingermenu.co.nz,Roast Pork,,,Roast Pork,,,,,
maxine@fingermenu.co.nz,BBQ Pork,,,BBQ Pork,,,,,
maxine@fingermenu.co.nz,Half,,,Salted Chicken Half,,,,,
maxine@fingermenu.co.nz,Whole,,,Salted Chicken Whole,,,,,
maxine@fingermenu.co.nz,Half,,,Crispy Skin Chicken Half,,,,,
maxine@fingermenu.co.nz,Whole,,,Crispy Skin Chicken Whole,,,,,
maxine@fingermenu.co.nz,Half size,,,Lovebird Stuffed Eggplant Half,,,,,
maxine@fingermenu.co.nz,Regular,,,Lovebird Stuffed Eggplant Whole,,,,,
maxine@fingermenu.co.nz,Small,,,Steamd White Rice S,,,,,
maxine@fingermenu.co.nz,Medium,,,Steamd White Rice M,,,,,
maxine@fingermenu.co.nz,Large,,,Steamd White Rice L,,,,,
maxine@fingermenu.co.nz,Regular,,,Egg Fried Rice R,,,,,
maxine@fingermenu.co.nz,Small,,,Egg Fried Rice S,,,,,
