Username,Menu Item Name,Choice Item Descriptions,Current Price,Tags,Default Choice Item Descriptions,Must Choose Size,Must Choose Dietary Option,Min Number of Side Dishes,Max Number of Side Dishes
takumi@fingermenu.co.nz,4 Chicken Wings,Rice|Miso|Rice & Miso,12.00,,,F,F,0,0
takumi@fingermenu.co.nz,6 Chicken Wings,Rice|Miso|Rice & Miso,17.00,,,F,F,0,0
takumi@fingermenu.co.nz,Edamame Spring Roll,Rice|Miso|Rice & Miso,7.00,,,F,F,0,0
takumi@fingermenu.co.nz,Cheese Balls,Rice|Miso|Rice & Miso,7.00,,,F,F,0,0
takumi@fingermenu.co.nz,Agedashi Tofu (Vegan),Rice|Miso|Rice & Miso,8.00,,,F,F,0,0
takumi@fingermenu.co.nz,Edamame Beans (Vegan),Rice|Miso|Rice & Miso,7.00,,,F,F,0,0
takumi@fingermenu.co.nz,Edamame Beans (Vegan) (Garlic),Rice|Miso|Rice & Miso,7.00,,,F,F,0,0
takumi@fingermenu.co.nz,Caesar Salad,Rice|Miso|Rice & Miso,12.00,,,F,F,0,0
takumi@fingermenu.co.nz,Takoyaki Balls,Rice|Miso|Rice & Miso,8.00,,,F,F,0,0
takumi@fingermenu.co.nz,Prawn Spring Rolls,Rice|Miso|Rice & Miso,9.00,,,F,F,0,0
takumi@fingermenu.co.nz,Sweet-Chili-Salmon-Egg-Roll,Rice|Miso|Rice & Miso,10.00,,,F,F,0,0
takumi@fingermenu.co.nz,Tempura-Sushi-Vegetarian,Rice|Miso|Rice & Miso,9.00,,,F,F,0,0
takumi@fingermenu.co.nz,Tempura-Sushi-Salmon,Rice|Miso|Rice & Miso,10.00,,,F,F,0,0
takumi@fingermenu.co.nz,Tempura-Sushi-White Fish,Rice|Miso|Rice & Miso,10.00,,,F,F,0,0
takumi@fingermenu.co.nz,Takumi Style Salad,Rice|Miso|Rice & Miso,9.00,,,F,F,0,0
takumi@fingermenu.co.nz,Salmon Salad,Rice|Miso|Rice & Miso,13.00,,,F,F,0,0
takumi@fingermenu.co.nz,Boiled Dumplings [6pcs],Rice|Miso|Rice & Miso,9.00,,,F,F,0,0
takumi@fingermenu.co.nz,Seaweed Salad,Rice|Miso|Rice & Miso,7.00,,,F,F,0,0
takumi@fingermenu.co.nz,Tofu Salad,Rice|Miso|Rice & Miso,9.00,,,F,F,0,0
takumi@fingermenu.co.nz,Fried Rice,Rice|Miso|Rice & Miso,11.00,,,F,F,0,0
