Username,Name en_NZ,Name zh,Name ja,Description en_NZ,Description zh,Description  ja,Menu item page URL,imageUrl,Tags,Linked Printers
takumi@fingermenu.co.nz,4 Chicken Wings,日式酥炸鸡翅,手羽先唐揚げ,4 Chicken Wings,日式酥炸鸡翅,手羽先唐揚げ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/85a0e0f85d657cb152c91f90b588ba1c_Chicken-wings.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,6 Chicken Wings,日式酥炸鸡翅,手羽先唐揚げ,6 Chicken Wings,日式酥炸鸡翅,手羽先唐揚げ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/85a0e0f85d657cb152c91f90b588ba1c_Chicken-wings.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Edamame Spring Roll,毛豆卷,枝豆春巻き,Edamame Spring Roll,毛豆卷,枝豆春巻き,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/0dd2e76ea60748a50c4340280a7fcadf_Edamame-spring-roll.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Cheese Balls,芝士球,チーズボール,Cheese Balls,芝士球,チーズボール,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/66c0554078c1217196ae8e109747fb7c_Cheese-ball.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Agedashi Tofu (Vegan),日式黄金豆腐,揚げ出し,Agedashi Tofu (Vegan),日式黄金豆腐,揚げ出し,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/175f47f0bcb198b0a025659d2d554bd0_Agedashi-tofu.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Edamame Beans (Vegan),毛豆,枝豆,Edamame Beans (Vegan),毛豆,枝豆,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/8984813b62843c1ead949bae44bd5832_Edamame-beans.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Edamame Beans (Vegan) (Garlic),毛豆,枝豆,Edamame Beans (Vegan) (Garlic),毛豆,枝豆,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/8984813b62843c1ead949bae44bd5832_Edamame-beans.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Caesar Salad,恺撒沙拉,シーザーサラダ,Caesar Salad,恺撒沙拉,シーザーサラダ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/4f18c0c0b6a89f2cb75c7b01a79b9cb5_Caesar-salad.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Takoyaki Balls,章鱼烧,たこ焼き,Takoyaki Balls,章鱼烧,たこ焼き,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/0e3ae1c02b567867a98743f9f1b9df2b_Takoyaki-ball.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Prawn Spring Rolls,日式炸虾卷,エビ春巻き,Prawn Spring Rolls,日式炸虾卷,エビ春巻き,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/8fa454c85d79832cd154f029f83c5265_Prawn-spring-roll.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Sweet-Chili-Salmon-Egg-Roll,天妇罗寿司,天ぷら寿司,Sweet-Chili-Salmon-Egg-Roll,三文鱼鸡蛋卷,サーモン入,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/4cd5d350c68592198b83854e53f2a64a_Sweet-chill-salmon-Egg-rolls.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Tempura-Sushi-Vegetarian,天妇罗素食寿司,天ぷら寿司-ベジタリアン,Tempura-Sushi-Vegetarian,天妇罗素食寿司,天ぷら寿司-ベジタリアン,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/92d4fbad9d44e9afaf604e542c1c9e0d_Tempura%20Sushi%20vegetarian.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Tempura-Sushi-Salmon,天妇罗三文鱼寿司,天ぷら寿司-サーモン,Tempura-Sushi-Salmon,天妇罗三文鱼寿司,天ぷら寿司-サーモン,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/adcd51c2be5a3f1f076778fe12797171_Tempura%20Sushi%20Salmon.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Tempura-Sushi-White Fish,天妇罗白鱼寿司,天ぷら寿司-ホワイトフィッシュ,Tempura-Sushi-White Fish,天妇罗白鱼寿司,天ぷら寿司-ホワイトフィッシュ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/555bc3b643f0d7fa0a4c82f79ec57720_Tempura%20Sushi%20White%20Fish.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Takumi Style Salad,Takumi特色沙拉,匠様式サラダ,Takumi Style Salad,Takumi特色沙拉,匠様式サラダ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/31234a11e86995af2f5ac3ed4aaf7e77_Takumi%20Style%20Salad.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Salmon Salad,三文鱼沙拉,サーモンサラダ,Salmon Salad,三文鱼沙拉,サーモンサラダ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/2e18768bea9f1b0bd480b01e03384fca_Takumi%20Salmon%20Salsd.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Boiled Dumplings [6pcs],水煮饺子,ゆで餃子,Boiled Dumplings [6pcs],水煮饺子,ゆで餃子,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/75da95f15afbd4c537ec7b3c39cf31cf_Boiled-Dumplings.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Seaweed Salad,海带沙拉,海藻サラダ,Seaweed Salad,海带沙拉,海藻サラダ,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Tofu Salad,豆腐沙拉,豆腐サラダ,Tofu Salad,豆腐沙拉,豆腐サラダ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/ba75af3a09860a58b0a59fcd7b755709_Tofu-salad.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Fried Rice,日式炒饭,タカナチャーハン,Fried Rice,日式炒饭,タカナチャーハン,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Main Sashimi [24pcs],刺身拼盘（大）,刺身盛り合わせ,Main Sashimi [24pcs],刺身拼盘（大）,刺身盛り合わせ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/2a1b8eeab29c94d63221dca3a7bb854e_Main-Medium-sashimi.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Entrée Sashimi [12pcs],刺身拼盘（小）,刺身,Entrée Sashimi [12pcs],刺身拼盘（小）,刺身,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/012531b100da585b8b2edf1088ba0ff4_Entree-Small-sashimi.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,White Fish Assortment,白鱼刺身,白身魚の刺身,White Fish Assortment,白鱼刺身,白身魚の刺身,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/caa7a122ec4e9bc16907d8199e83ad46_White-fish-assortment.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Salmon Sashimi [10pcs],三文鱼刺身,サーモン刺身,Salmon Sashimi [10pcs],三文鱼刺身,サーモン刺身,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/f8d28816311a037013227d787003805f_Salmon-sashimi.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Beef Tataki,牛肉刺身,牛タタキ,Beef Tataki,牛肉刺身,牛タタキ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/5d3a44f989e9d09c824bc6ccc071abdc_Beef-tataki.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Yuzu Chicken ,日式柚子烤鸡排,柚子チキン,Yuzu Chicken ,日式柚子烤鸡排,柚子チキン,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/48d612d731e4c0fbeeddf3bdf1941050_Yuzu-chicken.jpg,,"[""Receipt Printer""]"
