Username,Key,Name en_NZ,Name zh,Name ja,Description en_NZ,Description zh,Description  ja,Parent Tag
takumi@fingermenu.co.nz,,Entrees,,,Entrees,,,
takumi@fingermenu.co.nz,,Mains,,,Mains,,,
takumi@fingermenu.co.nz,,Drinks,,,Drinks,,,
takumi@fingermenu.co.nz,,Deserts,,,Deserts,,,
takumi@fingermenu.co.nz,,Vegan,,,Vegan,,,
takumi@fingermenu.co.nz,,Vegetarian,,,Vegetarian,,,
takumi@fingermenu.co.nz,,No onions,,,No onions,,,
takumi@fingermenu.co.nz,,Small,小,小さい,Small,小,小さい,
takumi@fingermenu.co.nz,,Regular,普通,定期的,Regular,普通,定期的,
takumi@fingermenu.co.nz,,Large,大,大,Large,大,大,
takumi@fingermenu.co.nz,,Tap Beer,,,Tap Beer,,,
takumi@fingermenu.co.nz,,Bottled Beer,,,Bottled Beer,,,
takumi@fingermenu.co.nz,,Bottled Cider,,,Bottled Cider,,,
takumi@fingermenu.co.nz,,Sake,,,Sake,,,
takumi@fingermenu.co.nz,,Plum Wine,,,Plum Wine,,,
takumi@fingermenu.co.nz,,Japanese Fruity Beer,,,Japanese Fruity Beer,,,
takumi@fingermenu.co.nz,,Ramune,,,Ramune,,,
takumi@fingermenu.co.nz,,Japanese Whiskey (40%),,,Japanese Whiskey (40%),,,
takumi@fingermenu.co.nz,,Non-Alcoholic,,,Non-Alcoholic,,,
takumi@fingermenu.co.nz,,Soft Drink,,,Soft Drink,,,
takumi@fingermenu.co.nz,,Juice,,,Juice,,,
takumi@fingermenu.co.nz,,Tea,,,Tea,,,
,,,,,,,,
43degreescafe@fingermenu.co.nz,,Vegan,,,Vegan,,,
43degreescafe@fingermenu.co.nz,,Vegetarian,,,Vegetarian,,,
43degreescafe@fingermenu.co.nz,,Gluten Free,,,Gluten Free,,,
43degreescafe@fingermenu.co.nz,,Cold Drinks,,,Cold Drinks,,,Beverage
43degreescafe@fingermenu.co.nz,,Red Wine,,,Red Wine,,,Beverage
43degreescafe@fingermenu.co.nz,,White Wine,,,White Wine,,,Beverage
43degreescafe@fingermenu.co.nz,,Bubbles,,,Bubbles,,,Beverage
43degreescafe@fingermenu.co.nz,,Other,,,Other,,,Beverage
43degreescafe@fingermenu.co.nz,,Beer,,,Beer,,,Beverage
43degreescafe@fingermenu.co.nz,,Glass,,,Glass,,,
43degreescafe@fingermenu.co.nz,,Bottle,,,Bottle,,,
43degreescafe@fingermenu.co.nz,,Food,,,Food,,,
43degreescafe@fingermenu.co.nz,6,Brunch Weekday,,,Brunch Weekday,,,Food
43degreescafe@fingermenu.co.nz,10,Sweet Food,,,Sweet Food,,,Food
43degreescafe@fingermenu.co.nz,20,Sav Food,,,Sav Food,,,Food
43degreescafe@fingermenu.co.nz,30,Deli,,,Deli,,,Food
43degreescafe@fingermenu.co.nz,,Beverage,,,Beverage,,,
43degreescafe@fingermenu.co.nz,1,Hot Drinks,,,Hot Drinks,,,Beverage
43degreescafe@fingermenu.co.nz,2,Hot Drinks Mods,,,Hot Drinks Mods,,,Beverage
43degreescafe@fingermenu.co.nz,3,Hot Drinks Tea,,,Hot Drinks Tea,,,Beverage
43degreescafe@fingermenu.co.nz,4,Cold Drinks Juices,,,Cold Drinks Juices,,,Beverage
43degreescafe@fingermenu.co.nz,5,Cold Drinks,,,Cold Drinks,,,Beverage
,,,,,,,,
maxine@fingermenu.co.nz,,Small,,,Small,,,
maxine@fingermenu.co.nz,,Medium,,,Medium,,,
maxine@fingermenu.co.nz,,Large,,,Large,,,
maxine@fingermenu.co.nz,,1 Course,,,1 Course,,,
maxine@fingermenu.co.nz,,2 Courses,,,2 Courses,,,
maxine@fingermenu.co.nz,,3 Courses,,,3 Courses,,,
maxine@fingermenu.co.nz,,Half,,,Half,,,
maxine@fingermenu.co.nz,,Whole,,,Whole,,,
maxine@fingermenu.co.nz,,Half size,,,Half size,,,
maxine@fingermenu.co.nz,,Regular,,,Regular,,,
maxine@fingermenu.co.nz,,Drinks,,,,,,
maxine@fingermenu.co.nz,,Cakes,,,,,,
